,Date,Time,WNDDIR,WSPD_AVG,WSPD_MAX,AMBIENT,RELHUM,BAROM,RAINFALL,X-WIND
8867,6/15/2021,3:29:50,325,2.6,2.7,31.5,8.7,95.688,0,2.4
8868,6/15/2021,3:29:51,307,2.6,2.7,31.5,8.7,95.688,0,2.6
8869,6/15/2021,3:29:53,304,2.2,2.3,31.5,8.7,95.688,0,2.2
8870,6/15/2021,3:29:54,323,2.5,2.5,31.5,8.7,95.688,0,2.3
8871,6/15/2021,3:29:55,309,2.4,2.5,31.5,8.7,95.688,0,2.4
8872,6/15/2021,3:29:57,329,2.4,2.4,31.5,8.7,95.688,0,2.1
8873,6/15/2021,3:29:58,313,2.1,2.1,31.5,8.7,95.688,0,2
8874,6/15/2021,3:30:00,304,2.3,2.4,31.5,8.7,95.688,0,2.3
8875,6/15/2021,3:30:01,301,2.7,2.7,31.5,8.7,95.688,0,2.7
8876,6/15/2021,3:30:03,331,2.6,2.7,31.5,8.7,95.688,0,2.3
8877,6/15/2021,3:30:04,334,2.5,2.6,31.5,8.7,95.688,0,2.1
8878,6/15/2021,3:30:05,316,2.5,2.5,31.5,8.7,95.688,0,2.4
8879,6/15/2021,3:30:07,311,1.7,1.7,31.5,8.7,95.688,0,1.7
8880,6/15/2021,3:30:08,312,2.1,2.1,31.5,8.7,95.688,0,2
8881,6/15/2021,3:30:10,317,2,2.1,31.5,8.7,95.688,0,1.9
8882,6/15/2021,3:30:11,316,2.5,2.5,31.5,8.7,95.688,0,2.4
8883,6/15/2021,3:30:13,304,2.6,2.6,31.5,8.7,95.688,0,2.6
8884,6/15/2021,3:30:14,332,2.5,2.6,31.5,8.7,95.688,0,2.2
8885,6/15/2021,3:30:15,311,2.9,2.9,31.5,8.7,95.688,0,2.8
8886,6/15/2021,3:30:17,310,2.5,2.6,31.5,8.7,95.688,0,2.5
8887,6/15/2021,3:30:18,307,2.3,2.4,31.5,8.7,95.688,0,2.3
8888,6/15/2021,3:30:20,309,2.3,2.3,31.5,8.7,95.688,0,2.3
8889,6/15/2021,3:30:21,313,2.6,2.6,31.5,8.7,95.688,0,2.5
8890,6/15/2021,3:30:22,314,2.6,2.7,31.5,8.7,95.688,0,2.6
8891,6/15/2021,3:30:24,312,2.8,2.9,31.5,8.7,95.688,0,2.8
8892,6/15/2021,3:30:25,309,2.4,2.4,31.5,8.7,95.688,0,2.3
8893,6/15/2021,3:30:27,311,2.3,2.3,31.5,8.7,95.688,0,2.2
8894,6/15/2021,3:30:28,311,2.3,2.4,31.5,8.7,95.688,0,2.2
8925,6/15/2021,3:31:12,317,2.5,2.5,31.5,8.9,95.688,0,2.4
8926,6/15/2021,3:31:14,313,2.7,2.7,31.5,8.9,95.688,0,2.6
8927,6/15/2021,3:31:15,313,2.7,2.7,31.5,8.9,95.688,0,2.6
8928,6/15/2021,3:31:16,319,2.6,2.7,31.5,8.9,95.688,0,2.5
8929,6/15/2021,3:31:18,304,2.5,2.6,31.5,8.9,95.688,0,2.5
8930,6/15/2021,3:31:19,313,2.6,2.6,31.5,8.9,95.688,0,2.5
8931,6/15/2021,3:31:21,312,2.1,2.2,31.5,8.9,95.688,0,2.1
8932,6/15/2021,3:31:22,301,2.6,2.6,31.5,8.9,95.688,0,2.6
8933,6/15/2021,3:31:24,311,2.8,2.8,31.5,8.9,95.688,0,2.7
8934,6/15/2021,3:31:25,320,2.8,2.9,31.5,8.9,95.688,0,2.7
8935,6/15/2021,3:31:26,316,2.8,2.9,31.5,8.9,95.688,0,2.7
8936,6/15/2021,3:31:28,299,2.3,2.4,31.5,8.9,95.688,0,2.3
8937,6/15/2021,3:31:29,314,2.4,2.4,31.5,8.9,95.688,0,2.3
8938,6/15/2021,3:31:31,312,2.2,2.2,31.5,8.9,95.688,0,2.1
8939,6/15/2021,3:31:32,308,2.1,2.2,31.5,8.9,95.688,0,2.1
8940,6/15/2021,3:31:33,314,2.3,2.3,31.5,8.9,95.688,0,2.2
8941,6/15/2021,3:31:35,305,2.3,2.4,31.5,8.9,95.688,0,2.3
8942,6/15/2021,3:31:36,325,2,2.1,31.5,8.9,95.688,0,1.8
8943,6/15/2021,3:31:38,309,2.3,2.4,31.5,8.9,95.688,0,2.3
8944,6/15/2021,3:31:39,311,2.3,2.3,31.5,8.9,95.688,0,2.2
8945,6/15/2021,3:31:41,309,2.3,2.4,31.5,8.9,95.688,0,2.3
8946,6/15/2021,3:31:42,319,2.3,2.4,31.5,8.9,95.688,0,2.2
8947,6/15/2021,3:31:43,328,1.9,2,31.5,8.9,95.688,0,1.7
8948,6/15/2021,3:31:45,312,1.8,1.8,31.5,8.9,95.688,0,1.8
8949,6/15/2021,3:31:46,304,2,2.1,31.5,8.9,95.688,0,2
8950,6/15/2021,3:31:48,307,1.9,1.9,31.5,8.9,95.688,0,1.9
8951,6/15/2021,3:31:49,303,1.8,1.8,31.5,8.9,95.688,0,1.8
8952,6/15/2021,3:31:51,296,1.7,1.8,31.5,8.9,95.688,0,1.7
8953,6/15/2021,3:31:52,299,1.8,1.8,31.5,8.9,95.688,0,1.8
8954,6/15/2021,3:31:53,308,1.8,1.9,31.5,8.9,95.688,0,1.8
8955,6/15/2021,3:31:55,318,2.1,2.1,31.5,8.9,95.688,0,2
8956,6/15/2021,3:31:56,325,2.3,2.3,31.5,8.9,95.688,0,2.1
8957,6/15/2021,3:31:58,305,2.2,2.3,31.5,9,95.688,0,2.2
8958,6/15/2021,3:31:59,303,2.2,2.3,31.5,9,95.688,0,2.2
8959,6/15/2021,3:32:00,298,2.5,2.6,31.5,9,95.688,0,2.5
8960,6/15/2021,3:32:02,309,2.5,2.5,31.5,9,95.688,0,2.5
8961,6/15/2021,3:32:03,310,2.6,2.7,31.5,9,95.688,0,2.6
8962,6/15/2021,3:32:05,302,2.6,2.7,31.5,9,95.688,0,2.6
8963,6/15/2021,3:32:06,318,2.7,2.8,31.5,9,95.688,0,2.6
8964,6/15/2021,3:32:08,304,2.4,2.4,31.5,9,95.688,0,2.4
8965,6/15/2021,3:32:09,290,2.1,2.1,31.5,9,95.688,0,2
8966,6/15/2021,3:32:10,312,2.1,2.1,31.5,9,95.688,0,2.1
8967,6/15/2021,3:32:12,302,1.9,1.9,31.5,9,95.688,0,1.9
8968,6/15/2021,3:32:13,309,2,2,31.5,9,95.688,0,1.9
8969,6/15/2021,3:32:15,312,2.5,2.5,31.5,9,95.688,0,2.5
8970,6/15/2021,3:32:16,311,2.5,2.5,31.5,9,95.688,0,2.5
8971,6/15/2021,3:32:17,303,2.9,2.9,31.5,9,95.688,0,2.9
8972,6/15/2021,3:32:19,312,3,3,31.5,9.1,95.688,0,2.9
8973,6/15/2021,3:32:20,304,2.9,2.9,31.5,9.1,95.688,0,2.9
8974,6/15/2021,3:32:22,309,2.4,2.5,31.5,9,95.688,0,2.4
8975,6/15/2021,3:32:23,303,2.4,2.5,31.5,9,95.688,0,2.4
8976,6/15/2021,3:32:25,315,2.2,2.2,31.5,9,95.688,0,2.1
8977,6/15/2021,3:32:26,315,2.2,2.2,31.5,9,95.688,0,2.1
8978,6/15/2021,3:32:27,303,2.2,2.3,31.5,9,95.688,0,2.2
9030,6/15/2021,3:33:41,315,2.2,2.3,31.6,9.1,95.688,0,2.2
9031,6/15/2021,3:33:43,297,2.1,2.1,31.6,9.1,95.688,0,2.1
9032,6/15/2021,3:33:44,297,2.1,2.1,31.6,9.1,95.688,0,2.1
9033,6/15/2021,3:33:46,308,2.1,2.1,31.6,9.2,95.688,0,2.1
9034,6/15/2021,3:33:47,312,2,2.1,31.6,9.2,95.688,0,1.9
9035,6/15/2021,3:33:48,310,2.1,2.2,31.6,9.2,95.688,0,2.1
9036,6/15/2021,3:33:50,297,1.9,2,31.6,9.2,95.688,0,1.9
9037,6/15/2021,3:33:51,298,2.1,2.1,31.6,9.2,95.688,0,2.1
9038,6/15/2021,3:33:53,306,2.6,2.6,31.6,9.2,95.688,0,2.6
9039,6/15/2021,3:33:54,311,2.5,2.6,31.6,9.2,95.688,0,2.5
9040,6/15/2021,3:33:55,316,2.4,2.4,31.6,9.2,95.688,0,2.3
9041,6/15/2021,3:33:57,309,2.3,2.4,31.6,9.2,95.688,0,2.3
9042,6/15/2021,3:33:58,314,2.5,2.5,31.6,9.2,95.688,0,2.4
9043,6/15/2021,3:34:00,303,2.3,2.3,31.6,9.2,95.688,0,2.3
9044,6/15/2021,3:34:01,298,2.2,2.3,31.6,9.2,95.688,0,2.2
9045,6/15/2021,3:34:03,314,2.6,2.6,31.6,9.2,95.688,0,2.5
9046,6/15/2021,3:34:04,314,2.6,2.6,31.6,9.2,95.688,0,2.5
9047,6/15/2021,3:34:05,301,2.9,3,31.6,9.3,95.688,0,2.9
9048,6/15/2021,3:34:07,310,2.8,2.8,31.6,9.3,95.688,0,2.7
9049,6/15/2021,3:34:08,304,2.7,2.8,31.6,9.3,95.688,0,2.7
9050,6/15/2021,3:34:10,311,3,3,31.6,9.4,95.688,0,2.9
9051,6/15/2021,3:34:11,309,2.6,2.7,31.6,9.4,95.688,0,2.6
9052,6/15/2021,3:34:13,312,2.4,2.5,31.6,9.4,95.688,0,2.4
9053,6/15/2021,3:34:14,300,2.5,2.5,31.6,9.4,95.688,0,2.5
9054,6/15/2021,3:34:15,309,2.4,2.4,31.6,9.4,95.688,0,2.3
9055,6/15/2021,3:34:17,303,2.4,2.5,31.6,9.4,95.688,0,2.4
9056,6/15/2021,3:34:18,309,2.4,2.4,31.6,9.4,95.688,0,2.3
9057,6/15/2021,3:34:20,315,2.4,2.4,31.6,9.3,95.688,0,2.3
9058,6/15/2021,3:34:21,313,2.2,2.2,31.6,9.3,95.688,0,2.1
9059,6/15/2021,3:34:22,298,2.1,2.1,31.6,9.3,95.688,0,2.1
9060,6/15/2021,3:34:24,318,2.4,2.5,31.6,9.3,95.688,0,2.3
9061,6/15/2021,3:34:25,306,2.4,2.5,31.6,9.3,95.688,0,2.4
9062,6/15/2021,3:34:27,310,2,2.1,31.6,9.3,95.688,0,2
9063,6/15/2021,3:34:28,307,1.7,1.8,31.6,9.3,95.688,0,1.7
9064,6/15/2021,3:34:30,303,1.6,1.6,31.6,9.3,95.688,0,1.6
9065,6/15/2021,3:34:31,303,1.6,1.6,31.6,9.3,95.688,0,1.6
9066,6/15/2021,3:34:32,298,1.4,1.5,31.6,9.3,95.688,0,1.4
9067,6/15/2021,3:34:34,316,2.1,2.2,31.6,9.3,95.688,0,2.1
9068,6/15/2021,3:34:35,321,2.1,2.1,31.6,9.3,95.688,0,2
9069,6/15/2021,3:34:37,307,2.2,2.3,31.6,9.3,95.688,0,2.2
9070,6/15/2021,3:34:38,311,2.5,2.6,31.6,9.3,95.688,0,2.5
9071,6/15/2021,3:34:40,303,2.5,2.5,31.6,9.3,95.688,0,2.5
9072,6/15/2021,3:34:41,289,2.4,2.5,31.7,9.3,95.688,0,2.3
9073,6/15/2021,3:34:42,310,2.4,2.5,31.7,9.3,95.688,0,2.4
9074,6/15/2021,3:34:44,306,2.2,2.3,31.7,9.3,95.688,0,2.2
9075,6/15/2021,3:34:45,283,2.1,2.1,31.7,9.3,95.688,0,2
9076,6/15/2021,3:34:47,310,2.1,2.1,31.7,9.3,95.688,0,2
9077,6/15/2021,3:34:48,310,2.1,2.1,31.7,9.3,95.688,0,2
9078,6/15/2021,3:34:49,298,1.6,1.6,31.7,9.3,95.688,0,1.6
9079,6/15/2021,3:34:51,304,1.4,1.4,31.7,9.3,95.688,0,1.4
9080,6/15/2021,3:34:52,300,1.6,1.7,31.7,9.3,95.688,0,1.6
9081,6/15/2021,3:34:54,306,1.7,1.7,31.7,9.3,95.688,0,1.6
9082,6/15/2021,3:34:55,268,1.6,1.7,31.7,9.3,95.688,0,1.3
9083,6/15/2021,3:34:57,293,1.3,1.4,31.7,9.3,95.688,0,1.3
9084,6/15/2021,3:34:58,300,1,1.1,31.7,9.3,95.688,0,1
9085,6/15/2021,3:34:59,298,0.9,0.9,31.7,9.3,95.688,0,0.9
9086,6/15/2021,3:35:01,315,1.2,1.3,31.7,9.3,95.688,0,1.2
9087,6/15/2021,3:35:02,305,1.3,1.3,31.7,9.3,95.688,0,1.3
9088,6/15/2021,3:35:04,304,1,1,31.7,9.3,95.688,0,1
9089,6/15/2021,3:35:05,309,1.2,1.2,31.7,9.3,95.688,0,1.1
9090,6/15/2021,3:35:06,312,1.5,1.6,31.7,9.3,95.688,0,1.5
9091,6/15/2021,3:35:08,309,1.6,1.7,31.7,9.3,95.688,0,1.6
9092,6/15/2021,3:35:09,312,1.4,1.5,31.7,9.3,95.688,0,1.4
9093,6/15/2021,3:35:11,289,1.3,1.3,31.7,9.3,95.688,0,1.2
9094,6/15/2021,3:35:12,296,1.2,1.2,31.7,9.3,95.688,0,1.2
9095,6/15/2021,3:35:14,288,1.1,1.1,31.7,9.3,95.688,0,1
9096,6/15/2021,3:35:15,294,1,1.1,31.7,9.3,95.688,0,1
9097,6/15/2021,3:35:16,296,1.1,1.2,31.7,9.3,95.688,0,1.1
9098,6/15/2021,3:35:18,313,1.3,1.4,31.7,9.3,95.688,0,1.3
9099,6/15/2021,3:35:19,307,1.3,1.3,31.7,9.3,95.688,0,1.2
9100,6/15/2021,3:35:21,305,0.9,1,31.7,9.3,95.688,0,0.9
9101,6/15/2021,3:35:22,302,1.4,1.4,31.7,9.3,95.688,0,1.4
9102,6/15/2021,3:35:23,306,1.7,1.7,31.7,9.3,95.688,0,1.6
9103,6/15/2021,3:35:25,306,1.6,1.7,31.7,9.3,95.688,0,1.6
9104,6/15/2021,3:35:26,305,1.4,1.4,31.7,9.3,95.688,0,1.4
9105,6/15/2021,3:35:28,293,1.3,1.4,31.7,9.3,95.688,0,1.3
9106,6/15/2021,3:35:29,311,1.3,1.3,31.7,9.3,95.688,0,1.2
9107,6/15/2021,3:35:31,299,1.2,1.2,31.7,9.3,95.688,0,1.2
9108,6/15/2021,3:35:32,295,1,1,31.7,9.3,95.688,0,1
9109,6/15/2021,3:35:33,287,0.9,0.9,31.7,9.3,95.688,0,0.9
9110,6/15/2021,3:35:35,272,1.2,1.2,31.7,9.3,95.688,0,1
9111,6/15/2021,3:35:36,294,1.3,1.3,31.7,9.3,95.688,0,1.2
9112,6/15/2021,3:35:38,288,1.3,1.4,31.7,9.3,95.688,0,1.3
9113,6/15/2021,3:35:39,329,1.2,1.2,31.7,9.3,95.688,0,1
9114,6/15/2021,3:35:40,305,1,1,31.7,9.3,95.688,0,1
9115,6/15/2021,3:35:42,310,1,1.1,31.7,9.3,95.688,0,1
9116,6/15/2021,3:35:43,303,1,1.1,31.7,9.3,95.688,0,1
9117,6/15/2021,3:35:45,301,1.3,1.3,31.7,9.3,95.688,0,1.3
9118,6/15/2021,3:35:46,308,1.3,1.4,31.7,9.2,95.688,0,1.3
9119,6/15/2021,3:35:48,277,1.4,1.5,31.7,9.2,95.688,0,1.3
9120,6/15/2021,3:35:49,313,1.3,1.3,31.7,9.2,95.688,0,1.2
9121,6/15/2021,3:35:50,286,1.3,1.4,31.7,9.2,95.688,0,1.3
9122,6/15/2021,3:35:52,313,1,1.1,31.7,9.2,95.688,0,1
9123,6/15/2021,3:35:53,325,0.9,1,31.7,9.2,95.688,0,0.9
9124,6/15/2021,3:35:55,323,1.1,1.2,31.7,9.2,95.688,0,1
9125,6/15/2021,3:35:56,320,1.1,1.2,31.7,9.2,95.688,0,1.1
9126,6/15/2021,3:35:57,310,1.2,1.2,31.7,9.2,95.688,0,1.1
9127,6/15/2021,3:35:59,319,1.4,1.5,31.7,9.2,95.688,0,1.4
9128,6/15/2021,3:36:00,325,1.4,1.4,31.7,9.2,95.688,0,1.3
9129,6/15/2021,3:36:02,286,1.5,1.5,31.7,9.2,95.688,0,1.4
9130,6/15/2021,3:36:03,291,1.4,1.5,31.7,9.2,95.688,0,1.4
9131,6/15/2021,3:36:05,301,1.7,1.7,31.7,9.2,95.688,0,1.7
9132,6/15/2021,3:36:06,301,1.7,1.7,31.7,9.2,95.688,0,1.7
9133,6/15/2021,3:36:07,308,1.8,1.8,31.7,9.2,95.688,0,1.8
9134,6/15/2021,3:36:09,316,2.1,2.1,31.7,9.3,95.688,0,2
9135,6/15/2021,3:36:10,313,2.3,2.3,31.7,9.3,95.688,0,2.2
9136,6/15/2021,3:36:12,317,2.3,2.3,31.7,9.3,95.688,0,2.2
9137,6/15/2021,3:36:13,309,2.5,2.5,31.7,9.3,95.688,0,2.4
9138,6/15/2021,3:36:15,306,2.5,2.5,31.7,9.3,95.688,0,2.4
9139,6/15/2021,3:36:16,308,2.5,2.5,31.7,9.4,95.688,0,2.5
9140,6/15/2021,3:36:17,298,2.1,2.1,31.7,9.4,95.688,0,2.1
9141,6/15/2021,3:36:19,305,1.6,1.7,31.7,9.4,95.688,0,1.6
9142,6/15/2021,3:36:20,297,1.7,1.7,31.7,9.4,95.688,0,1.7
9143,6/15/2021,3:36:22,280,1.3,1.3,31.7,9.4,95.688,0,1.2
9144,6/15/2021,3:36:23,280,1.3,1.3,31.7,9.4,95.688,0,1.2
9145,6/15/2021,3:36:24,311,0.9,1,31.7,9.3,95.688,0,0.9
9146,6/15/2021,3:36:26,312,2.1,2.1,31.7,9.3,95.688,0,2.1
9147,6/15/2021,3:36:27,311,2.5,2.5,31.7,9.3,95.688,0,2.5
9148,6/15/2021,3:36:29,309,2.5,2.6,31.7,9.3,95.688,0,2.5
9149,6/15/2021,3:36:30,308,2.4,2.5,31.7,9.4,95.688,0,2.3
9150,6/15/2021,3:36:32,316,2.5,2.5,31.7,9.4,95.688,0,2.4
9151,6/15/2021,3:36:33,311,2.4,2.5,31.7,9.4,95.688,0,2.4
9152,6/15/2021,3:36:34,313,2.4,2.5,31.7,9.4,95.688,0,2.4
9153,6/15/2021,3:36:36,306,2.1,2.1,31.7,9.4,95.688,0,2
9154,6/15/2021,3:36:37,309,2.3,2.4,31.7,9.4,95.688,0,2.3
9155,6/15/2021,3:36:39,293,1.9,1.9,31.7,9.4,95.688,0,1.9
9156,6/15/2021,3:36:40,309,2.1,2.1,31.7,9.5,95.688,0,2.1
9157,6/15/2021,3:36:42,308,2,2.1,31.7,9.5,95.688,0,2
9158,6/15/2021,3:36:43,307,1.9,1.9,31.7,9.5,95.688,0,1.9
9159,6/15/2021,3:36:44,308,2.1,2.2,31.7,9.5,95.688,0,2.1
9160,6/15/2021,3:36:46,303,2.4,2.5,31.7,9.5,95.688,0,2.4
9161,6/15/2021,3:36:47,325,2.5,2.6,31.7,9.5,95.688,0,2.3
9162,6/15/2021,3:36:49,293,2.4,2.4,31.7,9.5,95.688,0,2.3
9163,6/15/2021,3:36:50,293,2.4,2.4,31.7,9.5,95.688,0,2.3
9164,6/15/2021,3:36:51,320,1.8,1.8,31.7,9.5,95.688,0,1.7
9165,6/15/2021,3:36:53,311,2.3,2.4,31.8,9.5,95.688,0,2.3
9166,6/15/2021,3:36:54,317,2.5,2.6,31.8,9.5,95.688,0,2.4
9167,6/15/2021,3:36:56,309,2.4,2.4,31.8,9.5,95.688,0,2.3
9168,6/15/2021,3:36:57,311,2.4,2.4,31.8,9.5,95.688,0,2.3
9169,6/15/2021,3:36:59,308,2.5,2.6,31.8,9.5,95.688,0,2.5
9170,6/15/2021,3:37:00,299,2.5,2.6,31.8,9.5,95.688,0,2.5
9171,6/15/2021,3:37:01,286,2.2,2.3,31.8,9.5,95.688,0,2.1
9172,6/15/2021,3:37:03,306,1.8,1.9,31.8,9.5,95.688,0,1.8
9173,6/15/2021,3:37:04,316,2.1,2.1,31.8,9.5,95.688,0,2
9174,6/15/2021,3:37:06,301,2.3,2.3,31.8,9.5,95.688,0,2.3
9175,6/15/2021,3:37:07,278,2,2.1,31.8,9.5,95.688,0,1.8
9176,6/15/2021,3:37:09,302,2,2,31.8,9.5,95.688,0,2
9177,6/15/2021,3:37:10,310,2.1,2.1,31.8,9.5,95.688,0,2.1
9178,6/15/2021,3:37:11,306,2.4,2.5,31.8,9.5,95.688,0,2.4
9179,6/15/2021,3:37:13,313,3.2,3.3,31.8,9.5,95.688,0,3.1
9180,6/15/2021,3:37:14,318,3.2,3.3,31.8,9.5,95.688,0,3.1
9181,6/15/2021,3:37:16,302,3.1,3.1,31.8,9.5,95.688,0,3.1
9182,6/15/2021,3:37:17,302,3.1,3.1,31.8,9.5,95.688,0,3.1
9183,6/15/2021,3:37:18,305,2.6,2.7,31.8,9.5,95.688,0,2.6
9184,6/15/2021,3:37:20,308,2.1,2.1,31.8,9.5,95.688,0,2.1
9185,6/15/2021,3:37:21,306,2,2.1,31.8,9.5,95.688,0,2
9186,6/15/2021,3:37:23,312,1.9,1.9,31.8,9.5,95.688,0,1.8
9187,6/15/2021,3:37:24,311,2.1,2.1,31.8,9.5,95.688,0,2
9188,6/15/2021,3:37:26,299,1.8,1.9,31.8,9.5,95.688,0,1.8
9189,6/15/2021,3:37:27,311,1.7,1.8,31.8,9.5,95.688,0,1.7
9190,6/15/2021,3:37:28,302,1.8,1.8,31.8,9.4,95.688,0,1.8
9280,6/15/2021,3:39:36,310,2.3,2.3,31.8,9.3,95.688,0,2.2
9281,6/15/2021,3:39:38,319,2,2,31.8,9.3,95.688,0,1.9
9282,6/15/2021,3:39:39,305,2,2,31.8,9.3,95.688,0,2
9283,6/15/2021,3:39:41,304,2,2,31.8,9.3,95.688,0,2
9284,6/15/2021,3:39:42,304,2,2,31.8,9.3,95.688,0,2
9285,6/15/2021,3:39:43,309,1.9,2,31.8,9.3,95.688,0,1.9
9286,6/15/2021,3:39:45,314,2.2,2.3,31.8,9.3,95.688,0,2.2
9287,6/15/2021,3:39:46,312,2.1,2.1,31.8,9.3,95.688,0,2.1
9288,6/15/2021,3:39:48,312,2.1,2.1,31.8,9.3,95.688,0,2
9289,6/15/2021,3:39:49,315,1.9,1.9,31.8,9.3,95.688,0,1.8
9290,6/15/2021,3:39:50,318,1.8,1.9,31.8,9.3,95.688,0,1.8
9291,6/15/2021,3:39:52,324,1.9,2,31.8,9.3,95.688,0,1.8
9292,6/15/2021,3:39:53,311,1.7,1.8,31.8,9.3,95.688,0,1.7
9293,6/15/2021,3:39:55,303,1.7,1.8,31.8,9.3,95.688,0,1.7
9294,6/15/2021,3:39:56,312,1.8,1.9,31.8,9.3,95.688,0,1.8
9295,6/15/2021,3:39:57,326,2,2.1,31.8,9.3,95.688,0,1.8
9296,6/15/2021,3:39:59,314,2.3,2.4,31.8,9.3,95.688,0,2.3
9297,6/15/2021,3:40:00,316,2.3,2.4,31.8,9.3,95.688,0,2.2
9298,6/15/2021,3:40:02,307,2.1,2.2,31.8,9.3,95.688,0,2.1
9299,6/15/2021,3:40:03,307,2.1,2.2,31.8,9.3,95.688,0,2.1
9300,6/15/2021,3:40:04,326,2.3,2.4,31.8,9.3,95.688,0,2.1
9301,6/15/2021,3:40:06,315,2.5,2.5,31.8,9.3,95.688,0,2.4
9302,6/15/2021,3:40:07,317,2.1,2.2,31.8,9.3,95.688,0,2.1
9303,6/15/2021,3:40:09,330,1.9,2,31.8,9.3,95.688,0,1.7
9304,6/15/2021,3:40:10,327,2,2,31.8,9.3,95.688,0,1.8
9305,6/15/2021,3:40:12,312,2.1,2.1,31.8,9.3,95.688,0,2
9306,6/15/2021,3:40:13,326,2,2,31.8,9.3,95.688,0,1.8
9307,6/15/2021,3:40:14,327,2.4,2.5,31.8,9.3,95.688,0,2.2
9308,6/15/2021,3:40:16,320,2.6,2.7,31.8,9.4,95.688,0,2.5
9309,6/15/2021,3:40:17,314,2.9,2.9,31.8,9.4,95.688,0,2.8
9310,6/15/2021,3:40:19,309,2.3,2.3,31.8,9.4,95.688,0,2.3
9311,6/15/2021,3:40:20,308,2.1,2.2,31.8,9.4,95.688,0,2.1
9312,6/15/2021,3:40:21,309,2.3,2.4,31.8,9.4,95.688,0,2.3
9313,6/15/2021,3:40:23,331,2.2,2.2,31.8,9.4,95.688,0,1.9
9314,6/15/2021,3:40:24,320,2.5,2.6,31.8,9.4,95.688,0,2.4
9315,6/15/2021,3:40:26,320,2.4,2.4,31.8,9.4,95.688,0,2.2
9316,6/15/2021,3:40:27,313,2.5,2.6,31.8,9.4,95.688,0,2.5
9317,6/15/2021,3:40:28,304,2.5,2.6,31.8,9.4,95.688,0,2.5
9318,6/15/2021,3:40:30,324,2.6,2.6,31.8,9.4,95.688,0,2.4
9319,6/15/2021,3:40:31,323,3,3,31.8,9.4,95.688,0,2.8
9320,6/15/2021,3:40:33,322,3.3,3.4,31.8,9.4,95.688,0,3.1
9321,6/15/2021,3:40:34,323,3.3,3.3,31.8,9.4,95.688,0,3.1
9322,6/15/2021,3:40:36,313,2.8,2.9,31.8,9.4,95.688,0,2.8
9323,6/15/2021,3:40:37,313,2.8,2.9,31.8,9.4,95.688,0,2.8
9324,6/15/2021,3:40:38,310,2.5,2.5,31.8,9.3,95.688,0,2.4
9325,6/15/2021,3:40:40,308,2.1,2.2,31.8,9.4,95.688,0,2.1
9326,6/15/2021,3:40:41,313,2.1,2.1,31.8,9.4,95.688,0,2
9327,6/15/2021,3:40:43,305,2.1,2.2,31.8,9.4,95.688,0,2.1
9328,6/15/2021,3:40:44,303,2.3,2.3,31.8,9.4,95.688,0,2.3
9329,6/15/2021,3:40:45,315,2.5,2.5,31.8,9.4,95.688,0,2.4
9330,6/15/2021,3:40:47,302,1.8,1.9,31.8,9.4,95.688,0,1.8
9331,6/15/2021,3:40:48,309,1.7,1.7,31.8,9.4,95.688,0,1.6
9332,6/15/2021,3:40:50,333,1.9,2,31.8,9.4,95.688,0,1.6
9333,6/15/2021,3:40:51,311,2.1,2.2,31.8,9.4,95.688,0,2.1
9334,6/15/2021,3:40:52,303,2.3,2.4,31.8,9.4,95.688,0,2.3
9335,6/15/2021,3:40:54,317,2.3,2.4,31.8,9.4,95.688,0,2.2
9336,6/15/2021,3:40:55,313,2.3,2.3,31.8,9.4,95.688,0,2.2
9337,6/15/2021,3:40:57,321,2.6,2.7,31.8,9.4,95.688,0,2.5
9338,6/15/2021,3:40:58,321,2.6,2.7,31.8,9.4,95.688,0,2.5
9339,6/15/2021,3:40:59,311,2.5,2.5,31.8,9.3,95.688,0,2.5
9340,6/15/2021,3:41:01,310,2.7,2.7,31.8,9.3,95.688,0,2.6
9341,6/15/2021,3:41:02,307,2.4,2.4,31.8,9.3,95.688,0,2.4
9342,6/15/2021,3:41:04,311,2.4,2.5,31.8,9.3,95.688,0,2.4
9343,6/15/2021,3:41:05,312,2.3,2.3,31.8,9.3,95.688,0,2.2
9344,6/15/2021,3:41:07,314,2.2,2.3,31.8,9.3,95.688,0,2.2
9345,6/15/2021,3:41:08,307,2.4,2.4,31.8,9.3,95.688,0,2.4
9346,6/15/2021,3:41:09,313,2.5,2.6,31.8,9.3,95.688,0,2.5
9347,6/15/2021,3:41:11,313,2.3,2.3,31.8,9.3,95.688,0,2.2
9348,6/15/2021,3:41:12,317,2.4,2.4,31.8,9.3,95.688,0,2.3
9349,6/15/2021,3:41:14,330,2.3,2.3,31.8,9.3,95.688,0,2
9350,6/15/2021,3:41:15,330,2.3,2.3,31.8,9.3,95.688,0,2
9351,6/15/2021,3:41:16,315,2.5,2.5,31.8,9.3,95.688,0,2.4
9352,6/15/2021,3:41:18,328,2.5,2.5,31.8,9.3,95.688,0,2.2
9353,6/15/2021,3:41:19,325,2.6,2.6,31.8,9.3,95.688,0,2.4
9354,6/15/2021,3:41:21,326,2.5,2.5,31.8,9.3,95.688,0,2.2
9355,6/15/2021,3:41:22,319,2.1,2.1,31.8,9.3,95.688,0,2
9356,6/15/2021,3:41:24,330,1.9,1.9,31.8,9.3,95.688,0,1.6
9357,6/15/2021,3:41:25,324,2.2,2.3,31.8,9.3,95.688,0,2.1
